label,Total Population
2021,169356251
2020,167420951
2019,165516222
2018,163683958
2017,161793964
2016,159784568
2015,157830000
2014,155961299
2013,154030139
2012,152090649
2011,150211005
2010,148391139
2009,146706810
2008,145421318
2007,144135934
2006,142628831
2005,140912590
2004,138789725
2003,136503206
2002,134139826
2001,131670484
2000,129193327
1999,126754824
1998,124350471
1997,122039226
1996,119876868
1995,117793338
1994,115614891
1993,113418757
1992,111272102
1991,109242834
1990,107147651
1989,104893674
1988,102688833
1987,100490256
1986,98271746
1985,95959099
1984,93534239
1983,91045478
1982,88555336
1981,86154836
1980,83929765
1979,81908151
1978,80007550
1977,78137788
1976,76380080
1975,74700345
1974,72947807
1973,71144818
1972,69346705
1971,68376204
1970,67541860
1969,65866908
1968,63995652
1967,62104488
1966,60265259
1965,58500159
1964,56774465
1963,55094115
1962,53461661
1961,51882769
1960,50396429
