label,Total Population
2021,16589023
2020,16396860
2019,16207746
2018,16025238
2017,15830689
2016,15624584
2015,15417523
2014,15210817
2013,14999683
2012,14786640
2011,14573885
2010,14363532
2009,14155740
2008,13943888
2007,13714791
2006,13477779
2005,13246583
2004,13016371
2003,12787710
2002,12561779
2001,12338192
2000,12118841
1999,11899006
1998,11669077
1997,11431569
1996,11182612
1995,10919528
1994,10636353
1993,10243550
1992,9718215
1991,9259362
1990,8910808
1989,8570928
1988,8269780
1987,7975597
1986,7661317
1985,7376090
1984,7133899
1983,6881962
1982,6619699
1981,6364472
1980,6198959
1979,6051808
1978,5961193
1977,6040197
1976,6307122
1975,6727922
1974,6913408
1973,6852360
1972,6766289
1971,6696324
1970,6708525
1969,6679708
1968,6553109
1967,6426445
1966,6299230
1965,6170727
1964,6040847
1963,5913680
1962,5788854
1961,5664654
1960,5541676
