label,Total Population
2021,113880328
2020,112190977
2019,110380804
2018,108568836
2017,106738501
2016,104875266
2015,103031365
2014,101325201
2013,99700107
2012,98032317
2011,96337913
2010,94636700
2009,92946951
2008,91252326
2007,89561377
2006,87901835
2005,86261250
2004,84607501
2003,82942837
2002,81285572
2001,79626086
2000,77958223
1999,76249064
1998,74491918
1997,72718837
1996,70944969
1995,69250468
1994,67650283
1993,66083321
1992,64543525
1991,63039751
1990,61558898
1989,60127343
1988,58755923
1987,57415175
1986,56109838
1985,54812660
1984,53514959
1983,52219685
1982,50938522
1981,49679330
1980,48419546
1979,47154232
1978,45890739
1977,44646518
1976,43474370
1975,42394433
1974,41388324
1973,40406234
1972,39412479
1971,38421746
1970,37435586
1969,36477170
1968,35544973
1967,34616857
1966,33704749
1965,32805538
1964,31916622
1963,31043711
1962,30185979
1961,29342411
1960,28486871
