label,Total Population
2021,97468029
2020,96648685
2019,95776716
2018,94914330
2017,94033048
2016,93126529
2015,92191398
2014,91235504
2013,90267739
2012,89301326
2011,88349117
2010,87411012
2009,86482923
2008,85597241
2007,84762269
2006,83951800
2005,83142095
2004,82311227
2003,81475825
2002,80642308
2001,79817777
2000,79001142
1999,78123713
1998,77128424
1997,76058603
1996,74946448
1995,73759110
1994,72501087
1993,71176405
1992,69788747
1991,68358820
1990,66912613
1989,65466361
1988,64037514
1987,62630787
1986,61221107
1985,59811313
1984,58406863
1983,57011444
1982,55632153
1981,54280394
1980,52968270
1979,51831389
1978,50701458
1977,49418150
1976,48163573
1975,46969616
1974,45898698
1973,44891281
1972,43906019
1971,42916624
1970,41928849
1969,41015865
1968,40145287
1967,39282564
1966,38388210
1965,37466077
1964,36509166
1963,35526727
1962,34533889
1961,33621982
1960,32718461
